Estimator,parameters,best_params,Scaler,Sampler,Clusterer,Feature Selector,Interaction feature,0_precision,0_recall,0_f1-score,1_precision,1_recall,1_f1-score,macro_avg_precision,macro_avg_recall,macro_avg_f1-score,weighted_avg_precision,weighted_avg_recall,weighted_avg_f1-score,accuracy,f2-score
KNeighborsClassifier,"{'n_neighbors': [3, 5, 7, 9, 11]}",{'n_neighbors': 11},StandardScaler,OverSampler,KMeans,passthrough,passthrough,0.9873417721518988,0.8715083798882681,0.9258160237388724,0.4523809523809524,0.9047619047619048,0.6031746031746031,0.7198613622664256,0.8881351423250865,0.7644953134567378,0.9311708860759492,0.875,0.8919386745796242,0.875,0.730509049183748
KNeighborsClassifier,"{'n_neighbors': [3, 5, 7, 9, 11]}",{'n_neighbors': 11},StandardScaler,OverSampler,KMeans,passthrough,PolynomialFeatures,0.963855421686747,0.8938547486033519,0.927536231884058,0.4411764705882353,0.7142857142857143,0.5454545454545455,0.7025159461374911,0.8040702314445332,0.7364953886693018,0.9089741318214032,0.875,0.8874176548089591,0.875,0.6607437202082036
KNeighborsClassifier,"{'n_neighbors': [3, 5, 7, 9, 11]}",{'n_neighbors': 11},StandardScaler,OverSampler,KMeans,SelectKBest,passthrough,0.9870967741935484,0.8547486033519553,0.9161676646706588,0.4222222222222222,0.9047619047619048,0.5757575757575758,0.7046594982078853,0.87975525405693,0.7459626202141172,0.9277849462365592,0.86,0.8804246053347851,0.86,0.7359207852928937
KNeighborsClassifier,"{'n_neighbors': [3, 5, 7, 9, 11]}",{'n_neighbors': 7},StandardScaler,OverSampler,KMeans,SelectKBest,PolynomialFeatures,0.9631901840490796,0.8770949720670391,0.9181286549707602,0.4054054054054054,0.7142857142857143,0.5172413793103449,0.6842977947272426,0.7956903431763767,0.7176850171405526,0.904622782291494,0.86,0.8760354910264166,0.86,0.7111359387813583
KNeighborsClassifier,"{'n_neighbors': [3, 5, 7, 9, 11]}",{'n_neighbors': 11},StandardScaler,OverSampler,KMeans,SelectFpr,passthrough,0.9875,0.88268156424581,0.9321533923303834,0.475,0.9047619047619048,0.6229508196721311,0.73125,0.8937217345038574,0.7775521060012572,0.9336875,0.885,0.8996871222012669,0.885,0.7087606301681232
KNeighborsClassifier,"{'n_neighbors': [3, 5, 7, 9, 11]}",{'n_neighbors': 9},StandardScaler,OverSampler,KMeans,SelectFpr,PolynomialFeatures,0.96875,0.8659217877094972,0.9144542772861356,0.4,0.7619047619047619,0.5245901639344264,0.684375,0.8139132748071296,0.719522220610281,0.90903125,0.855,0.8735185453842063,0.855,0.6911401597676108
KNeighborsClassifier,"{'n_neighbors': [3, 5, 7, 9, 11]}",{'n_neighbors': 9},StandardScaler,OverSampler,passthrough,passthrough,passthrough,0.9748427672955976,0.8659217877094972,0.9171597633136096,0.4146341463414634,0.8095238095238095,0.5483870967741935,0.6947384568185304,0.8377227986166533,0.7327734300439015,0.9160208620954134,0.86,0.8784386333269708,0.86,0.6796945976398031
KNeighborsClassifier,"{'n_neighbors': [3, 5, 7, 9, 11]}",{'n_neighbors': 11},StandardScaler,OverSampler,passthrough,passthrough,PolynomialFeatures,0.981012658227848,0.8659217877094972,0.9198813056379822,0.4285714285714285,0.8571428571428571,0.5714285714285714,0.7047920433996383,0.8615323224261772,0.7456549385332768,0.923006329113924,0.865,0.8832937685459941,0.865,0.6584327242221979
KNeighborsClassifier,"{'n_neighbors': [3, 5, 7, 9, 11]}",{'n_neighbors': 9},StandardScaler,OverSampler,passthrough,SelectKBest,passthrough,0.9695121951219512,0.888268156424581,0.9271137026239068,0.4444444444444444,0.7619047619047619,0.5614035087719298,0.7069783197831978,0.8250864591646714,0.7442586056979182,0.914380081300813,0.875,0.8887141322694491,0.875,0.7272975973975306
KNeighborsClassifier,"{'n_neighbors': [3, 5, 7, 9, 11]}",{'n_neighbors': 5},StandardScaler,OverSampler,passthrough,SelectKBest,PolynomialFeatures,0.976470588235294,0.9273743016759776,0.9512893982808024,0.5666666666666667,0.8095238095238095,0.6666666666666666,0.7715686274509803,0.8684490555998936,0.8089780324737346,0.9334411764705882,0.915,0.921404011461318,0.915,0.7229864502372928
